feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,add variables in this order,variable name
"(1,)",[0.35361713 0.41028989 0.37503265],0.37964655697745275,"('max_count_by_address_30',)",0.05257996461212403,0.02336545284050637,0.016521870149016536,1.0,max_count_by_address_30
"(1, 205)",[0.52703056 0.56202664 0.55941499],0.549490728649778,"('max_count_by_address_30', 'max_count_by_ssn_dob_7')",0.035819592851721864,0.015917488984959535,0.011255364400727063,2.0,max_count_by_ssn_dob_7
"(1, 205, 225)",[0.57012275 0.5949334  0.58657613],0.58387742665622,"('max_count_by_address_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3')",0.023194365354598304,0.01030709803356121,0.007288218913885661,3.0,max_count_by_homephone_3
"(0, 1, 205, 225)",[0.58213633 0.60224602 0.59310525],0.592495864890746,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3')",0.018500062687478166,0.0082210466564485,0.005813157839225727,4.0,max_count_by_fulladdress_30
"(0, 1, 205, 225, 226)",[0.58918778 0.61922173 0.62131105],0.6099068512231217,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.03302449771628385,0.014675406300926183,0.010377079312052692,5.0,zip5_count_3
"(0, 1, 192, 205, 225, 226)",[0.59023244 0.61922173 0.62235571],0.6106032906764168,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'max_count_by_ssn_dob_30', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.03254219146675802,0.014461079341767703,0.010225527265840636,6.0,max_count_by_ssn_dob_30
"(0, 1, 192, 199, 205, 225, 226)",[0.59388874 0.62131105 0.61896056],0.6113867850613737,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'max_count_by_ssn_dob_30', 'max_count_by_homephone_7', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.027926897402467746,0.012410137759745832,0.008775292565375507,7.0,max_count_by_homephone_7
"(0, 1, 19, 192, 199, 205, 225, 226)",[0.59441107 0.62522852 0.62131105],0.6136502132845826,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'fulladdress_count_0_by_30', 'max_count_by_ssn_dob_30', 'max_count_by_homephone_7', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.030824585498784845,0.013697810641621113,0.009685814792099541,8.0,fulladdress_count_0_by_30
"(0, 1, 19, 159, 192, 199, 205, 225, 226)",[0.5957169  0.62575085 0.62131105],0.6142595978062156,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'fulladdress_count_0_by_30', 'max_count_by_fulladdress_homephone_30', 'max_count_by_ssn_dob_30', 'max_count_by_homephone_7', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.029786165326478136,0.013236358114148921,0.009359518580728284,9.0,max_count_by_fulladdress_homephone_30
"(0, 1, 19, 159, 192, 199, 204, 205, 225, 226)",[0.59545573 0.62548968 0.62287804],0.6146078175328632,"('max_count_by_fulladdress_30', 'max_count_by_address_30', 'fulladdress_count_0_by_30', 'max_count_by_fulladdress_homephone_30', 'max_count_by_ssn_dob_30', 'max_count_by_homephone_7', 'ssn_dob_day_since', 'max_count_by_ssn_dob_7', 'max_count_by_homephone_3', 'zip5_count_3')",0.03056954317602639,0.013584475088645636,0.009605674454041056,10.0,ssn_dob_day_since
