bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1665.0,508.0,1157.0,30.51051051051051,69.48948948948949,1665.0,508.0,1157.0,0.3095541323648595,48.49119865884325,48.181644526478394,0.439066551426102
2.0,1665.0,1639.0,26.0,98.43843843843844,1.561561561561561,3330.0,2147.0,1183.0,1.3082927602113255,49.58088851634535,48.272595756134024,1.8148774302620456
3.0,1665.0,1637.0,28.0,98.31831831831832,1.681681681681681,4995.0,3784.0,1211.0,2.305812671001237,50.75440067057838,48.44858799957714,3.124690338563171
4.0,1665.0,1646.0,19.0,98.85885885885885,1.1411411411411478,6660.0,5430.0,1230.0,3.308816808545644,51.55071248952221,48.24189568097657,4.414634146341464
5.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,8325.0,7083.0,1242.0,4.316086455787992,52.053646269907794,47.737559814119805,5.702898550724638
6.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,9990.0,8740.0,1250.0,5.325793537143449,52.38893545683152,47.06314191968807,6.992
7.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,11655.0,10396.0,1259.0,6.334891259970629,52.76613579212071,46.431244532150075,8.257347100873709
8.0,1664.0,1645.0,19.0,98.85817307692308,1.1418269230769198,13319.0,12041.0,1278.0,7.3372860389867585,53.56244761106454,46.22516157207778,9.421752738654147
9.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,14984.0,13698.0,1286.0,8.346993120342216,53.897736797988266,45.550743677646054,10.651632970451011
10.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,16649.0,15354.0,1295.0,9.356090843169396,54.274937133277454,44.91884629010806,11.856370656370656
11.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,18314.0,17007.0,1307.0,10.363360490411743,54.77787091366304,44.41451042325129,13.012241775057383
