bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5835.0,1613.0,4222.0,27.643530419880033,72.35646958011996,5835.0,1613.0,4222.0,0.28049344587850267,50.28585040495474,50.00535695907624,0.38204642349597345
2.0,5834.0,5698.0,136.0,97.66883784710319,2.331162152896809,11669.0,7311.0,4358.0,1.2713500203457737,51.90566936636493,50.63431934601916,1.6776044056906838
3.0,5835.0,5761.0,74.0,98.7317909168809,1.2682090831191033,17504.0,13072.0,4432.0,2.273162011484059,52.78704144830872,50.51387943682466,2.949458483754513
4.0,5834.0,5776.0,58.0,99.00582790538225,0.9941720946177526,23338.0,18848.0,4490.0,3.277582435163062,53.47784659361601,50.200264158452946,4.197772828507795
5.0,5835.0,5797.0,38.0,99.34875749785776,0.6512425021422388,29173.0,24645.0,4528.0,4.285654664399069,53.93044306812768,49.64478840372861,5.4428003533568905
6.0,5834.0,5784.0,50.0,99.14295509084675,0.8570449091532453,35007.0,30429.0,4578.0,5.291466252099788,54.525964745116724,49.234498493016936,6.646788990825688
7.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,40842.0,36222.0,4620.0,6.298842899324938,55.02620295378752,48.72736005446258,7.84025974025974
8.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,46676.0,42016.0,4660.0,7.306393442052801,55.502620295378755,48.19622685332595,9.016309012875537
9.0,5835.0,5803.0,32.0,99.4515852613539,0.5484147386461018,52511.0,47819.0,4692.0,8.315509044305097,55.88375416865174,47.568245124346646,10.19160272804774
10.0,5834.0,5790.0,44.0,99.24580047994515,0.7541995200548541,58345.0,53609.0,4736.0,9.322364005022102,56.4078132444021,47.08544923938,11.319467905405405
11.0,5835.0,5797.0,38.0,99.34875749785776,0.6512425021422388,64180.0,59406.0,4774.0,10.33043623425811,56.86040971891377,46.52997348465566,12.443653121072476
12.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,70014.0,65207.0,4807.0,11.339204045504975,57.25345402572653,45.914249980221555,13.565009361348034
13.0,5835.0,5790.0,45.0,99.22879177377892,0.7712082262210771,75849.0,70997.0,4852.0,12.346059006221981,57.789423535016674,45.44336452879469,14.632522671063478
14.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,81684.0,76797.0,4887.0,13.354652921966132,58.20628870890901,44.85163578694288,15.714548802946593
15.0,5834.0,5791.0,43.0,99.26294137812822,0.7370586218717818,87518.0,82588.0,4930.0,14.361681778185853,58.71843735111958,44.35675557293373,16.75212981744422
16.0,5835.0,5790.0,45.0,99.22879177377892,0.7712082262210771,93353.0,88378.0,4975.0,15.368536738902858,59.254406860409716,43.885870121506855,17.764422110552765
17.0,5834.0,5795.0,39.0,99.33150497086048,0.6684950291395211,99187.0,94173.0,5014.0,16.376261177133436,59.71891376846117,43.342652591327735,18.78201037096131
18.0,5835.0,5799.0,36.0,99.38303341902314,0.6169665809768645,105022.0,99972.0,5050.0,17.384681197374874,60.147689375893286,42.76300817851841,19.796435643564358
19.0,5834.0,5788.0,46.0,99.21151868357902,0.7884813164209845,110856.0,105760.0,5096.0,18.39118836708645,60.6955693187232,42.30438095163675,20.753532182103612
20.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,116691.0,111544.0,5147.0,19.39699995478717,61.30300142925203,41.90600147446486,21.67165339032446
21.0,5834.0,5801.0,33.0,99.43435035995886,0.5656496400411442,122525.0,117345.0,5180.0,20.405767766034035,61.69604573606479,41.29027797003076,22.653474903474905
22.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,128360.0,123130.0,5230.0,21.411753249237467,62.29156741305383,40.87981416381636,23.54302103250478
23.0,5834.0,5788.0,46.0,99.21151868357902,0.7884813164209845,134194.0,128918.0,5276.0,22.418260418949046,62.839447355883756,40.42118693693471,24.434799090219865
24.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,140029.0,134718.0,5311.0,23.426854334693196,63.25631252977608,39.829458195082886,25.36584447373376
25.0,5835.0,5787.0,48.0,99.17737789203085,0.8226221079691527,145864.0,140505.0,5359.0,24.43318760890206,63.82801333968556,39.3948257307835,26.218510916215713
26.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,151698.0,146303.0,5395.0,25.441433733640782,64.25678894711767,38.81535521347689,27.11825764596849
27.0,5835.0,5788.0,47.0,99.19451585261353,0.8054841473864656,157533.0,152091.0,5442.0,26.447940903352357,64.81657932348737,38.368638420135014,27.947629547960307
28.0,5834.0,5792.0,42.0,99.28008227631128,0.7199177236887238,163367.0,157883.0,5484.0,27.455143655074792,65.31681753215817,37.861673877083376,28.789752005835158
29.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,169202.0,163667.0,5535.0,28.460955242775512,65.92424964268699,37.463294399911476,29.569467028003615
30.0,5834.0,5799.0,35.0,99.40006856359273,0.5999314364072745,175036.0,169466.0,5570.0,29.469375263016946,66.34111481657932,36.87173955356238,30.424775583482944
31.0,5835.0,5794.0,41.0,99.29734361610969,0.7026563838903144,180871.0,175260.0,5611.0,30.476925805744813,66.82944259171033,36.35251678596552,31.235073961860632
32.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,186705.0,181053.0,5652.0,31.48430245296996,67.31777036684136,35.8334679138714,32.03343949044586
33.0,5835.0,5794.0,41.0,99.29734361610969,0.7026563838903144,192540.0,186847.0,5693.0,32.491852995697826,67.80609814197237,35.314245146274544,32.820481292815735
34.0,5834.0,5786.0,48.0,99.17723688721289,0.8227631127871149,198374.0,192633.0,5741.0,33.49801237440397,68.37779895188184,34.87978657747787,33.553910468559486
35.0,5835.0,5788.0,47.0,99.19451585261353,0.8054841473864656,204209.0,198421.0,5788.0,34.50451954411555,68.93758932825155,34.433069784135995,34.28144436765722
36.0,5834.0,5800.0,34.0,99.4172094617758,0.5827905382242022,210043.0,204221.0,5822.0,35.5131134598597,69.3425440686041,33.829430608744396,35.07746478873239
37.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,215878.0,210006.0,5872.0,36.519098943063135,69.93806574559314,33.41896680253,35.76396457765667
38.0,5835.0,5798.0,37.0,99.36589545844045,0.6341045415595516,221713.0,215804.0,5909.0,37.52734506780185,70.37875178656503,32.85140671876318,36.521238788289054
39.0,5834.0,5790.0,44.0,99.24580047994515,0.7541995200548541,227547.0,221594.0,5953.0,38.53420002851886,70.90281086231539,32.36861083379653,37.22392071224593
40.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,233382.0,227378.0,6004.0,39.54001161621958,71.51024297284421,31.97023135662463,37.871085942704866
