bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2501.0,681.0,1820.0,27.22910835665734,72.77089164334267,2501.0,681.0,1820.0,0.2763327679535144,50.401550816948216,50.125218048994704,0.3741758241758242
2.0,2500.0,2446.0,54.0,97.84,2.1599999999999966,5001.0,3127.0,1874.0,1.268858392644111,51.89698144558294,50.628123052938825,1.6686232657417288
3.0,2501.0,2467.0,34.0,98.640543782487,1.3594562175129994,7502.0,5594.0,1908.0,2.269905292117415,52.83854887842703,50.56864358630961,2.9318658280922434
4.0,2500.0,2475.0,25.0,99.0,1.0,10002.0,8069.0,1933.0,3.274198391507941,53.53087787316533,50.256679481657386,4.1743404035178475
5.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,12503.0,10554.0,1949.0,4.282549240794994,53.97396842979784,49.69141918900285,5.415084658799384
6.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,15003.0,13039.0,1964.0,5.290900090082047,54.38936582664082,49.09846573655877,6.639002036659877
7.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,17504.0,15520.0,1984.0,6.29762783941049,54.94322902243146,48.64560118302097,7.82258064516129
8.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,20004.0,18003.0,2001.0,7.305167138718238,55.4140127388535,48.10884560013526,8.997001499250375
9.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,22505.0,20491.0,2014.0,8.31473531297425,55.77402381611742,47.45928850314317,10.174280039721946
10.0,2500.0,2472.0,28.0,98.88,1.1200000000000045,25005.0,22963.0,2042.0,9.317811087395818,56.54943229022432,47.2316212028285,11.245347698334966
11.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,27506.0,25447.0,2059.0,10.325756161693217,57.02021600664636,46.694459844953144,12.35891209324915
12.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,30006.0,27932.0,2074.0,11.33410701098027,57.43561340348934,46.10150639250907,13.467695274831245
13.0,2501.0,2492.0,9.0,99.64014394242304,0.3598560575769625,32507.0,30424.0,2083.0,12.345298285194893,57.684851841595126,45.33955355640023,14.605856937109937
14.0,2500.0,2478.0,22.0,99.12,0.8799999999999955,35007.0,32902.0,2105.0,13.350808709554379,58.29410135696483,44.94329264741045,15.63040380047506
15.0,2501.0,2477.0,24.0,99.04038384646141,0.9596161535385903,37508.0,35379.0,2129.0,14.355913358924209,58.9587371919136,44.60282383298939,16.6176608736496
16.0,2500.0,2477.0,23.0,99.08,0.9200000000000017,40008.0,37856.0,2152.0,15.36101800829404,59.59567986707283,44.23466185877879,17.5910780669145
17.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,42509.0,40341.0,2168.0,16.369368857581094,60.038770423705344,43.66940156612425,18.607472324723247
18.0,2501.0,2477.0,24.0,99.04038384646141,0.9596161535385903,45010.0,42818.0,2192.0,17.374473506950924,60.70340625865411,43.32893275170319,19.53375912408759
19.0,2500.0,2479.0,21.0,99.16,0.8400000000000034,47510.0,45297.0,2213.0,18.38038970630006,61.28496261423428,42.904572907934224,20.468594667871667
20.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,50011.0,47783.0,2228.0,19.389146330576768,61.700360011077265,42.3112136805005,21.446588868940754
21.0,2500.0,2487.0,13.0,99.48,0.519999999999996,52511.0,50270.0,2241.0,20.398308729843126,62.06037108834118,41.66206235849805,22.43195002231147
22.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,55012.0,52751.0,2261.0,21.40503647917157,62.61423428413182,41.20919780496025,23.330827067669173
23.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,57512.0,55233.0,2279.0,22.412170003489663,63.112711160343395,40.70054115685373,24.235629662132514
24.0,2501.0,2478.0,23.0,99.08036785285886,0.9196321471411437,60013.0,57711.0,2302.0,23.41768042784915,63.74965383550263,40.33197340765348,25.06993918331885
25.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,62513.0,60192.0,2321.0,24.424408177177593,64.27582387150373,39.851415694326136,25.933649289099527
26.0,2501.0,2475.0,26.0,98.96041583366653,1.0395841663334693,65014.0,62667.0,2347.0,25.428701276568116,64.99584602603157,39.56714474946345,26.70089475926715
27.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,67514.0,65152.0,2362.0,26.43705212585517,65.41124342287455,38.974191297019374,27.583403895004235
28.0,2501.0,2479.0,22.0,99.1203518592563,0.8796481407436971,70015.0,67631.0,2384.0,27.44296832520431,66.02049293824426,38.577524613039955,28.368708053691275
29.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,72515.0,70113.0,2402.0,28.450101849522405,66.51896981445583,38.068867964933425,29.189425478767692
30.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,75016.0,72599.0,2417.0,29.458858473799108,66.9343672112988,37.475508737499695,30.03682250724038
31.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,77516.0,75079.0,2437.0,30.4651804481379,67.48823040708945,37.023049958951546,30.80796060730406
32.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,80017.0,77564.0,2453.0,31.47353129742495,67.93132096372196,36.457789666297,31.62005707297187
